age,employed_now,employed_wife,employed_out_wife,college_deg,children,condition,married,c_list,t_list,c_outside_self,c_outside_guess,c_outside_confidence,t_outside_guess,t_outside_confidence,t_outside_mean,c_outside_mean,c_outside_guess_frac,t_outside_guess_frac,c_outside_wedge,t_outside_wedge
33,1,0,0,TRUE,3,1,TRUE,NA,4,NA,NA,NA,50,5,80.45547348826037,82.41758241758241,NA,0.5,NA,-30.455473488260367
32,1,0,0,FALSE,4,1,TRUE,NA,4,NA,NA,NA,10.100000381469727,4,80.45547348826037,82.41758241758241,NA,0.10100000381469726,NA,-70.35547310679064
33,1,1,2,TRUE,5,0,TRUE,3,NA,1,50,5,NA,NA,80.45547348826037,82.41758241758241,0.5,NA,-32.41758241758241,NA
36,1,1,2,TRUE,2,0,TRUE,2,NA,1,64.80000305175781,5,NA,NA,80.45547348826037,82.41758241758241,0.6480000305175782,NA,-17.617579365824596,NA
34,1,0,0,FALSE,3,1,TRUE,NA,3,NA,NA,NA,50,4,80.45547348826037,82.41758241758241,NA,0.5,NA,-30.455473488260367
0,1,0,0,FALSE,4,1,TRUE,NA,3,NA,NA,NA,64.80000305175781,5,80.45547348826037,82.41758241758241,NA,0.6480000305175782,NA,-15.655470436502554
0,1,1,2,TRUE,6,0,TRUE,3,NA,0,41,3,NA,NA,80.45547348826037,82.41758241758241,0.41,NA,-41.41758241758241,NA
34,1,0,0,TRUE,3,1,TRUE,NA,3,NA,NA,NA,0,3,80.45547348826037,82.41758241758241,NA,0,NA,-80.45547348826037
٣٢,1,0,0,TRUE,3,1,TRUE,NA,4,NA,NA,NA,40.400001525878906,2,80.45547348826037,82.41758241758241,NA,0.40400001525878904,NA,-40.05547196238146
32,1,0,0,TRUE,3,0,TRUE,1,NA,0,36.900001525878906,3,NA,NA,80.45547348826037,82.41758241758241,0.36900001525878906,NA,-45.5175808917035,NA
34,1,0,0,TRUE,3,1,TRUE,NA,1,NA,NA,NA,25.899999618530273,3,80.45547348826037,82.41758241758241,NA,0.25899999618530273,NA,-54.55547386973009
0,1,0,0,TRUE,3,0,TRUE,1,NA,1,70,4,NA,NA,80.45547348826037,82.41758241758241,0.7,NA,-12.417582417582409,NA
33,1,0,0,TRUE,3,0,TRUE,3,NA,1,74.69999694824219,5,NA,NA,80.45547348826037,82.41758241758241,0.7469999694824219,NA,-7.7175854693402215,NA
27,2,0,0,TRUE,3,1,TRUE,NA,3,NA,NA,NA,0,3,80.45547348826037,82.41758241758241,NA,0,NA,-80.45547348826037
27,1,0,0,FALSE,2,1,TRUE,NA,3,NA,NA,NA,50.29999923706055,1,80.45547348826037,82.41758241758241,NA,0.5029999923706054,NA,-30.15547425119982
31,1,0,0,TRUE,5,0,TRUE,3,NA,0,25.200000762939453,3,NA,NA,80.45547348826037,82.41758241758241,0.2520000076293945,NA,-57.217581654642956,NA
36,1,1,2,TRUE,3,0,TRUE,2,NA,1,50,4,NA,NA,80.45547348826037,82.41758241758241,0.5,NA,-32.41758241758241,NA
35,1,0,0,TRUE,2,1,TRUE,NA,3,NA,NA,NA,85.30000305175781,4,80.45547348826037,82.41758241758241,NA,0.8530000305175781,NA,4.844529563497446
35,1,0,0,FALSE,1,0,FALSE,3,NA,1,80,4,NA,NA,80.45547348826037,82.41758241758241,0.8,NA,-2.417582417582409,NA
33,1,1,2,TRUE,3,1,TRUE,NA,3,NA,NA,NA,96.30000305175781,3,80.45547348826037,82.41758241758241,NA,0.9630000305175781,NA,15.844529563497446
31,1,0,0,FALSE,2,0,TRUE,0,NA,1,53.5,3,NA,NA,80.45547348826037,82.41758241758241,0.535,NA,-28.91758241758241,NA
٣٦,1,0,0,FALSE,4,1,TRUE,NA,3,NA,NA,NA,61.900001525878906,4,80.45547348826037,82.41758241758241,NA,0.6190000152587891,NA,-18.55547196238146
34,1,1,2,TRUE,2,0,TRUE,2,NA,1,100,5,NA,NA,80.45547348826037,82.41758241758241,1,NA,17.58241758241759,NA
21,1,0,0,FALSE,2,0,TRUE,2,NA,1,66.80000305175781,5,NA,NA,80.45547348826037,82.41758241758241,0.6680000305175782,NA,-15.617579365824596,NA
21,2,0,0,FALSE,2,1,TRUE,NA,4,NA,NA,NA,74.69999694824219,5,80.45547348826037,82.41758241758241,NA,0.7469999694824219,NA,-5.755476540018179
20,1,1,2,TRUE,2,0,TRUE,3,NA,0,39,5,NA,NA,80.45547348826037,82.41758241758241,0.39,NA,-43.41758241758241,NA
21,1,0,0,FALSE,2,1,TRUE,NA,3,NA,NA,NA,34.5,5,80.45547348826037,82.41758241758241,NA,0.345,NA,-45.95547348826037
21,1,1,1,TRUE,2,1,TRUE,NA,4,NA,NA,NA,100,5,80.45547348826037,82.41758241758241,NA,1,NA,19.544526511739633
35,1,0,0,FALSE,3,0,TRUE,1,NA,0,30.600000381469727,4,NA,NA,80.45547348826037,82.41758241758241,0.3060000038146973,NA,-51.81758203611268,NA
