haafez_self,vjobs_self,applied_out_fl,driving_fl,interviewed_out_fl,employed_now_out_fl,outside_objective,outside_guess,outside_others_fl,min_wage_fl_per,children,outside_others_fl2,interview_sched_out_fl,matched,session,outside_self,semiseg_self,mwage_self,outside_others,semiseg_others,mwage_others,employed_wife,employed_now,education,age,secondary,num_knows_per,num_mfs_per,signed_up_number,outside_wedge,condition2,outside_confidence,employed_3mos_out_fl
1,1,0,0,0,0,26.78571428571429,27,25,0.9666666666666667,1,0.8333333333333334,0,1,1,1,1,1,26,22,3,0,1,5,20,1,0.9666666666666667,0.6666666666666666,0,0.21428571428571175,0,3,0
1,1,0,1,0,0,26.78571428571429,7,0,0.5,1,0,0,1,1,1,1,1,6,10,5,1,1,5,23,1,0.16666666666666666,0.16666666666666666,0,-19.78571428571429,1,2,0
1,1,0,0,0,0,29.11764705882353,6,15,0.23333333333333334,2,0.5,0,1,1,0,1,0,6,29,29,0,1,3,18,1,0.9666666666666667,0.6666666666666666,0,-23.11764705882353,0,2,0
1,1,0,1,0,0,29.11764705882353,24,25,0.1,0,0.8333333333333334,0,1,1,1,1,0,23,24,25,0,1,3,18,1,0.9666666666666667,0.16666666666666666,0,-5.117647058823529,0,4,0
0,0,0,0,0,0,29.11764705882353,30,19,0.5333333333333333,1,0.6333333333333333,0,1,1,1,1,1,29,29,19,1,1,6,28,1,0.5,0.6666666666666666,0,0.882352941176471,0,5,0
1,1,0,1,0,0,29.11764705882353,30,14,0,2,0.4666666666666667,0,1,1,1,1,1,29,19,18,0,0,3,18,1,0.16666666666666666,0.3333333333333333,1,0.882352941176471,0,5,0
0,0,1,1,0,0,29.11764705882353,25,15,0.16666666666666666,1,0.5,0,1,1,1,1,0,24,14,16,1,1,5,25,1,0.16666666666666666,0.9666666666666667,0,-4.117647058823529,1,4,0
1,0,0,1,0,0,29.11764705882353,11,10,0.4666666666666667,2,0.3333333333333333,0,1,1,1,1,1,10,5,10,0,1,7,25,1,0.9666666666666667,0.3333333333333333,0,-18.11764705882353,0,5,0
0,0,0,1,0,0,29.11764705882353,29,25,0.16666666666666666,1,0.8333333333333334,0,1,1,0,1,1,29,28,29,1,1,3,23,1,0.9666666666666667,0.9666666666666667,0,-0.117647058823529,1,5,0
1,1,0,1,0,0,29.11764705882353,24,30,0.03333333333333333,4,1,0,1,1,1,1,0,23,23,18,1,1,4,34,1,0.9666666666666667,0.9666666666666667,1,-5.117647058823529,0,3,0
0,1,0,0,0,0,29.11764705882353,17,10,0.2,2,0.3333333333333333,0,1,1,1,0,0,16,21,19,0,1,3,18,1,0.16666666666666666,0.16666666666666666,0,-12.117647058823529,0,3,0
1,1,0,1,0,1,29.11764705882353,21,NA,NA,1,NA,0,0,1,1,1,0,20,15,4,1,1,5,23,1,0.16666666666666666,0.16666666666666666,0,-8.117647058823529,0,4,1
1,1,0,0,0,0,29.11764705882353,30,10,0.36666666666666664,2,0.3333333333333333,0,1,1,1,1,1,29,29,29,1,1,6,25,1,0.9666666666666667,0.9666666666666667,0,0.882352941176471,1,5,0
1,1,0,1,0,0,29.11764705882353,30,28,0.8333333333333334,1,0.9333333333333333,0,1,1,1,1,1,29,29,20,1,1,3,18,1,0.9666666666666667,0.9666666666666667,0,0.882352941176471,0,5,0
1,1,0,1,0,0,29.11764705882353,29,2,0.16666666666666666,2,0.06666666666666667,0,1,2,1,1,1,28,19,12,1,1,3,19,1,0.9666666666666667,0.16666666666666666,0,-0.117647058823529,0,4,0
1,1,0,0,0,0,29.11764705882353,21,25,0.23333333333333334,3,0.8333333333333334,0,1,2,1,1,1,20,20,25,1,1,6,27,1,0.8333333333333334,0.6666666666666666,0,-8.117647058823529,1,4,0
1,1,0,1,0,0,29.11764705882353,29,24,0.26666666666666666,0,0.8,0,1,2,1,0,0,28,27,28,1,1,3,19,1,0.8333333333333334,0.16666666666666666,0,-0.117647058823529,0,5,0
1,1,0,1,0,0,29.11764705882353,17,21,0.6666666666666666,3,0.7,0,1,2,1,1,1,16,18,22,1,1,5,19,1,0.8333333333333334,0.16666666666666666,0,-12.117647058823529,1,3,0
1,1,0,1,0,0,29.11764705882353,30,15,0.3,1,0.5,0,1,2,1,1,1,29,17,15,1,1,3,26,1,0.9666666666666667,0.16666666666666666,0,0.882352941176471,1,5,0
1,1,0,0,0,0,29.11764705882353,24,3,0.16666666666666666,0,0.1,0,1,2,1,1,0,23,25,20,0,1,5,29,1,0.9666666666666667,0.9666666666666667,0,-5.117647058823529,0,3,0
1,1,0,0,0,0,29.11764705882353,11,NA,NA,3,NA,0,0,2,1,1,1,10,16,9,1,1,5,19,1,0.3333333333333333,0.16666666666666666,0,-18.11764705882353,0,4,0
1,0,0,1,0,0,29.11764705882353,11,5,0.5,2,0.16666666666666666,0,1,2,1,1,1,10,16,14,1,1,5,26,1,0.3333333333333333,0.3333333333333333,1,-18.11764705882353,0,2,0
1,1,0,1,0,1,29.11764705882353,21,15,0.6666666666666666,4,0.5,0,1,2,1,1,1,20,20,15,1,0,3,30,1,0.9666666666666667,0,0,-8.117647058823529,0,4,1
1,0,1,1,0,0,29.11764705882353,24,25,0.3333333333333333,3,0.8333333333333334,0,1,2,1,1,1,23,20,22,1,1,8,34,1,0.9666666666666667,0.5,1,-5.117647058823529,1,3,0
1,1,0,1,0,1,29.11764705882353,18,15,0.8333333333333334,4,0.5,0,1,2,1,0,1,17,13,21,1,1,3,33,1,0.9666666666666667,0,0,-11.117647058823529,0,3,1
1,1,0,1,0,0,29.11764705882353,26,10,0.43333333333333335,0,0.3333333333333333,0,1,2,1,1,1,25,22,27,0,1,6,26,1,0.6666666666666666,0.3333333333333333,0,-3.117647058823529,0,4,0
1,1,0,1,0,0,29.11764705882353,30,10,0.3333333333333333,0,0.3333333333333333,0,1,2,1,0,0,29,29,29,0,1,6,25,1,0.9666666666666667,0,0,0.882352941176471,0,5,0
1,1,0,0,0,0,29.11764705882353,30,NA,NA,0,NA,0,0,2,1,1,0,29,29,29,0,1,3,18,1,0.8333333333333334,0.16666666666666666,0,0.882352941176471,1,5,0
1,1,0,1,0,1,29.11764705882353,25,29,0.26666666666666666,1,0.9666666666666667,0,1,2,1,1,1,24,28,23,1,1,5,21,1,0.9666666666666667,0.16666666666666666,0,-4.117647058823529,1,4,1
1,1,0,1,0,0,29.11764705882353,10,15,0.5,4,0.5,0,1,2,1,1,1,9,13,10,1,1,3,22,1,0.8333333333333334,0.16666666666666666,0,-19.11764705882353,0,4,0
1,1,0,1,0,0,29.11764705882353,25,10,0.2,2,0.3333333333333333,0,1,2,0,1,1,25,27,26,0,1,3,24,1,0,0,1,-4.117647058823529,0,3,0
1,1,0,1,0,1,29.11764705882353,16,5,0.1,0,0.16666666666666666,0,1,2,1,1,1,15,20,29,1,1,3,20,1,0.9666666666666667,0.16666666666666666,0,-13.117647058823529,0,4,1
1,1,0,1,0,0,29.11764705882353,13,15,0.3333333333333333,0,0.5,0,1,2,1,1,1,12,19,6,1,1,3,20,1,0.9666666666666667,0.3333333333333333,0,-16.11764705882353,0,4,0
1,1,0,0,0,0,29.11764705882353,28,NA,NA,2,NA,0,0,2,1,1,1,27,26,25,1,1,5,24,1,0.9666666666666667,0.9666666666666667,0,-1.117647058823529,0,4,0
0,1,0,1,0,0,29.11764705882353,14,6,0.5666666666666667,4,0.2,0,1,2,1,1,1,13,21,12,0,1,5,32,1,0.9666666666666667,0.9666666666666667,0,-15.117647058823529,1,3,0
